"id","preparationPercent","lat","long","postalCode","investorId","villageId","provinceName","regencyName","districtName","villageName","createdAt","updatedAt","districtId","provinceId","regencyId","preparationEnd","preparationStart","statusId"
"02.SK.6652","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BUNTU PEPASAN","Belum diisi","2026-02-05 01:05:19.071","2026-02-05 01:05:19.071",,,,,,"3"
"02.SK.6653","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BUNTU PEPASAN","Belum diisi","2026-02-05 01:05:19.026","2026-02-05 01:05:19.026",,,,,,"3"
"02.SK.6654","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BUNTU PEPASAN","SARAMBU","2026-02-05 01:05:18.983","2026-02-05 01:05:18.983",,,,,,"3"
"02.SK.6655","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BUNTU PEPASAN","TALIMBANGAN","2026-02-05 01:05:18.94","2026-02-05 01:05:18.94",,,,,,"3"
"02.SK.6656","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BARUPPU","Belum diisi","2026-02-05 01:05:18.897","2026-02-05 01:05:18.897",,,,,,"3"
"02.SK.6657","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BARUPPU","Belum diisi","2026-02-05 01:05:18.852","2026-02-05 01:05:18.852",,,,,,"3"
"02.SK.6658","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","LONDONG BIANG","2026-02-05 01:05:18.802","2026-02-05 01:05:18.802",,,,,,"3"
"02.SK.6659","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","LONDONG BIANG","2026-02-05 01:05:18.753","2026-02-05 01:05:18.753",,,,,,"3"
"02.SK.6660","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","BATU LOTONG","2026-02-05 01:05:18.71","2026-02-05 01:05:18.71",,,,,,"3"
"02.SK.6661","10","0","0",,"INVSUBELVW",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","AWAN","2026-02-05 01:05:18.616","2026-02-05 01:05:18.616",,,,,,"3"
"02.SK.6662","40","0","0",,"INVSSYB57S",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","AWAN","2026-02-05 01:05:18.664","2026-02-05 01:05:18.664",,,,,,"3"
"02.SK.6663","40","0","0",,"INVSSYB57S",,"SULAWESI SELATAN","KAB. TORAJA UTARA","AWAN RANTE KARUA","BUNTU KARUA","2026-02-05 01:05:18.572","2026-02-05 01:05:18.572",,,,,,"3"
"02.SK.6664","0","0","0",,"INVSSYB57S",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BANGKELEKILA","Belum diisi","2026-02-05 01:05:18.525","2026-02-05 01:05:18.525",,,,,,"3"
"02.SK.6665","40","0","0",,"INVSSYB57S",,"SULAWESI SELATAN","KAB. TORAJA UTARA","BANGKELEKILA","Belum diisi","2026-02-05 01:05:18.48","2026-02-05 01:05:18.48",,,,,,"3"
"02.SK.6666","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SEKO","Belum diisi","2026-02-05 01:05:18.423","2026-02-05 01:05:18.423",,,,,,"1"
"02.SK.6667","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SEKO","Belum diisi","2026-02-05 01:05:18.401","2026-02-05 01:05:18.401",,,,,,"1"
"02.SK.6668","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SEKO","Belum diisi","2026-02-05 01:05:18.371","2026-02-05 01:05:18.371",,,,,,"1"
"02.SK.6669","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SEKO","Belum diisi","2026-02-05 01:05:18.346","2026-02-05 01:05:18.346",,,,,,"1"
"02.SK.6670","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SEKO","Belum diisi","2026-02-05 01:05:18.318","2026-02-05 01:05:18.318",,,,,,"1"
"02.SK.6671","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","SABBANG","Belum diisi","2026-02-05 01:05:18.294","2026-02-05 01:05:18.294",,,,,,"1"
"02.SK.6672","0","-2.382717","120.24956","92955","INVSYJ0MXV",,"SULAWESI SELATAN","KAB. LUWU UTARA","SABBANG","TANDUNG","2026-02-05 01:05:18.271","2026-02-05 01:05:18.271",,,,,,"3"
"02.SK.6673","0","-2.571463","120.2151849","92965","INVSYJ0MXV",,"SULAWESI SELATAN","KAB. LUWU UTARA","BAEBUNTA","SASSA","2026-02-05 01:05:18.225","2026-02-05 01:05:18.225",,,,,,"3"
"02.SK.6674","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","BAEBUNTA","Belum diisi","2026-02-05 01:05:18.181","2026-02-05 01:05:18.181",,,,,,"1"
"02.SK.6675","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","MASAMBA","Belum diisi","2026-02-05 01:05:18.159","2026-02-05 01:05:18.159",,,,,,"1"
"02.SK.6676","10","2.590177","120.531113","92966","INVSQRSLLQ",,"SULAWESI SELATAN","KAB. LUWU UTARA","BONE BONE","BANTIMURUNG","2026-02-05 01:05:18.135","2026-02-05 01:05:18.135",,,,,,"3"
"02.SK.6677","10","2.73622","120.26061","92965","INVSQRSLLQ",,"SULAWESI SELATAN","KAB. LUWU UTARA","BAEBUNTA SELATAN","LEMBANG-LEMBANG","2026-02-05 01:05:18.09","2026-02-05 01:05:18.09",,,,,,"3"
"02.SK.6678","0","-2.47636","1201426.52","92965","INVSYJ0MXV",,"SULAWESI SELATAN","KAB. LUWU UTARA","BAEBUNTA SELATAN","LAWEWE","2026-02-05 01:05:18.047","2026-02-05 01:05:18.047",,,,,,"3"
"02.SK.6679","0","-2.8921","120.309","92957","INVSYJ0MXV",,"SULAWESI SELATAN","KAB. LUWU UTARA","MALANGKE BARAT","POMBAKKA","2026-02-05 01:05:18","2026-02-05 01:05:18",,,,,,"3"
"02.SK.6680","0","-2.473923","120.154097","92957","INVSYJ0MXV",,"SULAWESI SELATAN","KAB. LUWU UTARA","MALANGKE BARAT","LIMBONG WARA","2026-02-05 01:05:17.956","2026-02-05 01:05:17.956",,,,,,"3"
"02.SK.6681","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","MALANGKE","SALEKOE","2026-02-05 01:05:17.902","2026-02-05 01:05:17.902",,,,,,"1"
"02.SK.6682","0","0","0",,,,"SULAWESI SELATAN","KAB. LUWU UTARA","RONGKONG","Belum diisi","2026-02-05 01:05:17.88","2026-02-05 01:05:17.88",,,,,,"1"
"02.SK.6683","10","0","0",,"INVSENJJML",,"SULAWESI SELATAN","KAB. BONE","TELLULIMPOE","TONDONG","2026-02-05 01:05:17.858","2026-02-05 01:05:17.858",,,,,,"3"
"02.SK.6684","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","TELLULIMPOE","TAPONG","2026-02-05 01:05:17.815","2026-02-05 01:05:17.815",,,,,,"1"
"02.SK.6685","10","0","0",,"INVSENJJML",,"SULAWESI SELATAN","KAB. BONE","TELLULIMPOE","SADAR","2026-02-05 01:05:17.793","2026-02-05 01:05:17.793",,,,,,"3"
"02.SK.6686","10","0","0",,"INVSENJJML",,"SULAWESI SELATAN","KAB. BONE","TELLULIMPOE","PALLAWA","2026-02-05 01:05:17.75","2026-02-05 01:05:17.75",,,,,,"3"
"02.SK.6687","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","TELLULIMPOE","BATU PUTIH","2026-02-05 01:05:17.691","2026-02-05 01:05:17.691",,,,,,"1"
"02.SK.6688","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","CENRANA","Belum diisi","2026-02-05 01:05:17.67","2026-02-05 01:05:17.67",,,,,,"1"
"02.SK.6689","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","CENRANA","LAONI","2026-02-05 01:05:17.647","2026-02-05 01:05:17.647",,,,,,"1"
"02.SK.6690","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","CENRANA","LATONRO","2026-02-05 01:05:17.626","2026-02-05 01:05:17.626",,,,,,"1"
"02.SK.6691","10","0","0",,"INVSENJJML",,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","MATTIROWALIE","2026-02-05 01:05:17.603","2026-02-05 01:05:17.603",,,,,,"3"
"02.SK.6692","10","0","0",,"INVSENJJML",,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","Belum diisi","2026-02-05 01:05:17.557","2026-02-05 01:05:17.557",,,,,,"3"
"02.SK.6693","20","0","0",,"INVSGGV1WB",,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","Belum diisi","2026-02-05 01:05:17.514","2026-02-05 01:05:17.514",,,,,,"3"
"02.SK.6694","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","LAMONCONG","2026-02-05 01:05:17.47","2026-02-05 01:05:17.47",,,,,,"1"
"02.SK.6695","10","0","0",,"INVSGGV1WB",,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","PATTUKU","2026-02-05 01:05:17.448","2026-02-05 01:05:17.448",,,,,,"3"
"02.SK.6696","0","0","0",,,,"SULAWESI SELATAN","KAB. BONE","BONTOCANI","BONTOJAI","2026-02-05 01:05:17.405","2026-02-05 01:05:17.405",,,,,,"1"
"02.SK.6697","0","0","0",,,,"SULAWESI SELATAN","KAB. SIDENRENG RAPPANG","PITU RIASE","BUNTU BUANGIN","2026-02-05 01:05:17.373","2026-02-05 01:05:17.373",,,,,,"1"
"02.SK.6698","0","0","0",,,,"SULAWESI SELATAN","KAB. SIDENRENG RAPPANG","PITU RIASE","COMPONG","2026-02-05 01:05:17.35","2026-02-05 01:05:17.35",,,,,,"1"
"02.SK.6699","0","0","0",,,,"SULAWESI SELATAN","KAB. SIDENRENG RAPPANG","PITU RIAWA","Belum diisi","2026-02-05 01:05:17.318","2026-02-05 01:05:17.318",,,,,,"1"
"02.SK.6700","10","0","0",,"INVSGGV1WB",,"SULAWESI SELATAN","KAB. MAROS","TOMPOBULU","Belum diisi","2026-02-05 01:05:17.287","2026-02-05 01:05:17.287",,,,,,"3"
"02.SK.6701","10","0","0",,"INVSGGV1WB",,"SULAWESI SELATAN","KAB. MAROS","TOMPOBULU","Belum diisi","2026-02-05 01:05:17.243","2026-02-05 01:05:17.243",,,,,,"2"
"02.SK.6702","0","0","0",,"INVSGGV1WB",,"SULAWESI SELATAN","KAB. MAROS","TOMPOBULU","Belum diisi","2026-02-05 01:05:17.2","2026-02-05 01:05:17.2",,,,,,"2"
"02.SK.6703","0","0","0",,,,"SULAWESI SELATAN","KAB. MAROS","TOMPOBULU","Belum diisi","2026-02-05 01:05:17.156","2026-02-05 01:05:17.156",,,,,,"1"
"02.SK.6704","40","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:17.134","2026-02-05 01:05:17.134",,,,,,"3"
"02.SK.6705","50","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:17.091","2026-02-05 01:05:17.091",,,,,,"3"
